Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Pathway	AlphaFoldDB
P05135	reviewed	SPIKE_IBV6	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S 2	Avian infectious bronchitis virus (strain 6/82) (IBV)	1163	endocytosis involved in viral entry into host cell [GO:0075509]; fusion of virus membrane with host endosome membrane [GO:0039654]; fusion of virus membrane with host plasma membrane [GO:0019064]; receptor-mediated virion attachment to host cell [GO:0046813]		
Q0Q466	reviewed	SPIKE_BC512	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S 2	Bat coronavirus 512/2005 (BtCoV) (BtCoV/512/2005)	1371	endocytosis involved in viral entry into host cell [GO:0075509]; fusion of virus membrane with host endosome membrane [GO:0039654]; fusion of virus membrane with host plasma membrane [GO:0019064]; receptor-mediated virion attachment to host cell [GO:0046813]		
Q91A26	reviewed	SPIKE_CVBEN	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S 3	Bovine coronavirus (strain 98TXSF-110-ENT) (BCoV-ENT) (BCV)	1363	endocytosis involved in viral entry into host cell [GO:0075509]; fusion of virus membrane with host endosome membrane [GO:0039654]; fusion of virus membrane with host plasma membrane [GO:0019064]; receptor-mediated virion attachment to host cell [GO:0046813]		
Q7T6T3	reviewed	SPIKE_CVCBG	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Canine coronavirus (strain BGF10) (CCoV) (Canine enteric coronavirus)	1453	endocytosis involved in viral entry into host cell [GO:0075509]; fusion of virus membrane with host endosome membrane [GO:0039654]; fusion of virus membrane with host plasma membrane [GO:0019064]; receptor-mediated virion attachment to host cell [GO:0046813]		
P36300	reviewed	SPIKE_CVCAI	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Canine coronavirus (strain Insavc-1) (CCoV) (Canine enteric coronavirus)	1451	endocytosis involved in viral entry into host cell [GO:0075509]; fusion of virus membrane with host endosome membrane [GO:0039654]; fusion of virus membrane with host plasma membrane [GO:0019064]; receptor-mediated virion attachment to host cell [GO:0046813]		
Q65984	reviewed	SPIKE_CVCAK	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Canine coronavirus (strain K378) (CCoV) (Canine enteric coronavirus)	1453	endocytosis involved in viral entry into host cell [GO:0075509]; fusion of virus membrane with host endosome membrane [GO:0039654]; fusion of virus membrane with host plasma membrane [GO:0019064]; receptor-mediated virion attachment to host cell [GO:0046813]		
P10033	reviewed	SPIKE_FIPV	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S 2	Feline coronavirus (strain FIPV WSU-79/1146) (FCoV)	1452	endocytosis involved in viral entry into host cell [GO:0075509]; fusion of virus membrane with host endosome membrane [GO:0039654]; fusion of virus membrane with host plasma membrane [GO:0019064]; receptor-mediated virion attachment to host cell [GO:0046813]		
P15423	reviewed	SPIKE_CVH22	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S 2	Human coronavirus 229E (HCoV-229E)	1173	endocytosis involved in viral entry into host cell [GO:0075509]; fusion of virus membrane with host endosome membrane [GO:0039654]; fusion of virus membrane with host plasma membrane [GO:0019064]; receptor-mediated virion attachment to host cell [GO:0046813]		
Q5MQD0	reviewed	SPIKE_CVHN1	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S 3	Human coronavirus HKU1 (isolate N1) (HCoV-HKU1)	1356	endocytosis involved in viral entry into host cell [GO:0075509]; fusion of virus membrane with host endosome membrane [GO:0039654]; fusion of virus membrane with host plasma membrane [GO:0019064]; receptor-mediated virion attachment to host cell [GO:0046813]		
Q6Q1S2	reviewed	SPIKE_CVHNL	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S 2	Human coronavirus NL63 (HCoV-NL63)	1356	endocytosis involved in viral entry into host cell [GO:0075509]; fusion of virus membrane with host endosome membrane [GO:0039654]; fusion of virus membrane with host plasma membrane [GO:0019064]; receptor-mediated virion attachment to host cell [GO:0046813]		
